vgroup,season,rmse,mae,median_abs_error,bias,median_error,r2_identity,r2_pearson,n
agriculture,dry,32.72176747965438,24.717084533704497,19.473317570931137,17.968467966740555,12.892526356956159,-1.7964647502948035,0.11197406999369823,357
agriculture,transdrywet,18.99608403103739,8.424606671621236,3.954247223504538,4.38748749025544,0.6013684531004202,0.04372967378202164,0.4803607708981969,403
agriculture,transwetdry,16.519815375798775,11.419019955264794,8.633923516908432,8.904178549767868,7.358305047732657,0.260296324697772,0.6672118551419233,267
agriculture,wet,42.071633497552575,28.04771078934124,17.915302146012273,25.45198876433085,17.915302146012273,-3.7461406698944515,0.22109618621451618,410
mangrove,dry,23.15565576836675,17.836287648484088,15.400059712945822,15.60166458483351,12.772651131635655,0.38803437151440723,0.6746123730914909,2548
mangrove,transdrywet,13.301737674745972,10.792834333075458,10.444504656767819,1.6311417981066285,3.7333601850435123,0.7811286053660345,0.7865086513929439,2185
mangrove,transwetdry,11.42953431914933,9.137367989896727,8.148282624100638,0.27344844743675856,2.026316732061389,0.8118747670333752,0.8144554114802331,2413
mangrove,wet,18.296997782866423,11.573599829960797,8.041360637005901,4.439849172274989,1.6764652577230734,0.6191626472249279,0.6628320999840622,2159
mixed_vegetation,dry,50.13165870579564,35.270936410797276,27.837821219047203,34.43791069837707,26.877093727484983,-5.257089398662776,0.12598632220326567,219
mixed_vegetation,transdrywet,10.482366764669983,7.8978852239315485,5.699250982660672,4.011936546833804,3.155067874113822,0.6057445567968044,0.768431799687247,244
mixed_vegetation,transwetdry,30.947899554479346,23.278539500540962,14.495674184024857,21.207169661991934,13.961194611926269,-1.2961103844215707,0.32771975093795896,182
mixed_vegetation,wet,34.95319422905233,24.976561002724683,19.125222554263566,22.734886449083476,18.608931326839752,-2.37744474217759,0.16217735203710765,261
