vgroup,season,rmse_auto,rmse_manual,mae_auto,mae_manual,median_abs_error_auto,median_abs_error_manual,bias_auto,bias_manual,n_auto,n_manual,delta_rmse,delta_mae,delta_medae,delta_bias
Mangrove,Wet,18.301215562637967,15.124397504783818,11.578365126167018,9.161827206075303,8.041772557150118,6.501585740488093,4.4425043807037214,-1.083267241278616,2158,2158,3.176818057854149,2.4165379200917148,1.5401868166620254,5.525771621982337
Mangrove,Trans. Wet-Dry,11.301530245223704,12.323985389013645,9.06161553088376,8.757162978525525,8.139851799171629,5.735578150660096,0.07598034426358807,-4.017226359874294,2247,2247,-1.0224551437899407,0.3044525523582351,2.4042736485115324,4.093206704137882
Mangrove,Dry,22.67456406470322,17.810398819106503,17.630729561394414,12.581438872805297,15.077752496930778,10.21030205903643,15.887575954331242,9.436252335414414,2540,2540,4.864165245596716,5.049290688589117,4.867450437894348,6.4513236189168275
Mangrove,Trans. Dry-Wet,13.304803268080018,13.903028583109883,10.794515902652515,9.880815355818115,10.439833914347982,6.763454935876631,1.6366720999447997,-4.910749850168862,2182,2182,-0.5982253150298646,0.9137005468344004,3.6763789784713516,6.5474219501136615
Agriculture,Wet,42.071633497552575,25.490143759823855,28.04771078934124,15.635807417493496,17.915302146012273,9.147406280497485,25.45198876433085,7.830416905839127,410,410,16.58148973772872,12.411903371847746,8.767895865514788,17.621571858491723
Agriculture,Trans. Wet-Dry,15.072037936433727,13.899807660083361,10.86829406558096,11.04046025315564,8.499663280971898,8.758034616201904,8.315204121597388,-7.991594694325021,263,263,1.1722302763503656,-0.17216618757468005,-0.2583713352300059,16.30679881592241
Agriculture,Dry,32.72176747965438,24.031015279954524,24.717084533704497,16.675068599507807,19.473317570931137,9.438894230395942,17.968467966740548,-1.9066997304859492,357,357,8.690752199699858,8.04201593419669,10.034423340535195,19.875167697226498
Agriculture,Trans. Dry-Wet,19.018562768028257,22.032777190366062,8.435206757650779,16.621925982632916,3.9378639218416502,14.916734663629969,4.4087582852255895,-12.2681561996266,402,402,-3.0142144223378047,-8.186719224982138,-10.978870741788318,16.67691448485219
Mixed vegetation,Wet,34.95319422905233,13.208062173433062,24.976561002724686,8.761144736037538,19.12522255426357,5.903679615068306,22.734886449083476,0.3394136658578812,261,261,21.745132055619266,16.21541626668715,13.221542939195263,22.395472783225596
Mixed vegetation,Trans. Wet-Dry,31.167247044602234,22.931384318133684,23.469119820575997,13.826661093527981,14.780011706867292,9.307497245349843,21.363034286408833,1.8631533631019086,179,179,8.23586272646855,9.642458727048016,5.472514461517449,19.499880923306925
Mixed vegetation,Dry,50.232926767178384,32.75100616669697,35.35361080149211,17.686579783466595,27.83948587660749,6.48252315143173,34.5167638702076,15.077640624068778,218,218,17.481920600481416,17.667031018025515,21.356962725175762,19.43912324613882
Mixed vegetation,Trans. Dry-Wet,10.482366764669983,20.75516502907091,7.8978852239315485,15.63033112174485,5.699250982660672,13.284059843862483,4.011936546833805,-14.386750080087964,244,244,-10.272798264400926,-7.732445897813302,-7.584808861201811,18.39868662692177
