vgroup,season,method_key,validation_method,rmse,mae,median_abs_error,bias,median_error,n
Mangrove,Wet,auto,Automated NDVI 0.30,18.301215562637967,11.578365126167018,8.041772557150118,4.4425043807037214,1.6805365525385803,2158
Mangrove,Wet,manual,Manual PlanetScope,15.124397504783818,9.161827206075303,6.501585740488093,-1.083267241278616,-2.4988069441882317,2158
Mangrove,Trans. Wet-Dry,auto,Automated NDVI 0.30,11.301530245223704,9.06161553088376,8.139851799171629,0.07598034426358807,2.1159448333733906,2247
Mangrove,Trans. Wet-Dry,manual,Manual PlanetScope,12.323985389013645,8.757162978525525,5.735578150660096,-4.017226359874294,-1.340528987060562,2247
Mangrove,Dry,auto,Automated NDVI 0.30,22.67456406470322,17.630729561394414,15.077752496930778,15.887575954331242,13.111622233536547,2540
Mangrove,Dry,manual,Manual PlanetScope,17.810398819106503,12.581438872805297,10.21030205903643,9.436252335414414,8.84799527336563,2540
Mangrove,Trans. Dry-Wet,auto,Automated NDVI 0.30,13.304803268080018,10.794515902652515,10.439833914347982,1.6366720999447997,3.7386256820119015,2182
Mangrove,Trans. Dry-Wet,manual,Manual PlanetScope,13.903028583109883,9.880815355818115,6.763454935876631,-4.910749850168862,-1.3439217827162722,2182
Agriculture,Wet,auto,Automated NDVI 0.30,42.071633497552575,28.04771078934124,17.915302146012273,25.45198876433085,17.915302146012273,410
Agriculture,Wet,manual,Manual PlanetScope,25.490143759823855,15.635807417493496,9.147406280497485,7.830416905839127,-0.6755636900184925,410
Agriculture,Trans. Wet-Dry,auto,Automated NDVI 0.30,15.072037936433727,10.86829406558096,8.499663280971898,8.315204121597388,7.261520479870796,263
Agriculture,Trans. Wet-Dry,manual,Manual PlanetScope,13.899807660083361,11.04046025315564,8.758034616201904,-7.991594694325021,-8.025444098429727,263
Agriculture,Dry,auto,Automated NDVI 0.30,32.72176747965438,24.717084533704497,19.473317570931137,17.968467966740548,12.89252635695616,357
Agriculture,Dry,manual,Manual PlanetScope,24.031015279954524,16.675068599507807,9.438894230395942,-1.9066997304859492,3.381308870755934,357
Agriculture,Trans. Dry-Wet,auto,Automated NDVI 0.30,19.018562768028257,8.435206757650779,3.9378639218416502,4.4087582852255895,0.6067266210715445,402
Agriculture,Trans. Dry-Wet,manual,Manual PlanetScope,22.032777190366062,16.621925982632916,14.916734663629969,-12.2681561996266,-13.538737037987886,402
Mixed vegetation,Wet,auto,Automated NDVI 0.30,34.95319422905233,24.976561002724686,19.12522255426357,22.734886449083476,18.608931326839752,261
Mixed vegetation,Wet,manual,Manual PlanetScope,13.208062173433062,8.761144736037538,5.903679615068306,0.3394136658578812,-0.3595550650802153,261
Mixed vegetation,Trans. Wet-Dry,auto,Automated NDVI 0.30,31.167247044602234,23.469119820575997,14.780011706867292,21.363034286408833,14.214128493753243,179
Mixed vegetation,Trans. Wet-Dry,manual,Manual PlanetScope,22.931384318133684,13.826661093527981,9.307497245349843,1.8631533631019086,-1.4218018873134746,179
Mixed vegetation,Dry,auto,Automated NDVI 0.30,50.232926767178384,35.35361080149211,27.83948587660749,34.5167638702076,27.357457473266095,218
Mixed vegetation,Dry,manual,Manual PlanetScope,32.75100616669697,17.686579783466595,6.48252315143173,15.077640624068778,5.016548945176336,218
Mixed vegetation,Trans. Dry-Wet,auto,Automated NDVI 0.30,10.482366764669983,7.8978852239315485,5.699250982660672,4.011936546833805,3.155067874113822,244
Mixed vegetation,Trans. Dry-Wet,manual,Manual PlanetScope,20.75516502907091,15.63033112174485,13.284059843862483,-14.386750080087964,-13.055381227573282,244
