zone,season,method_key,validation_method,rmse,mae,median_abs_error,bias,median_error,n
Z01,Wet,auto,Automated NDVI 0.30,12.36406180537052,8.426007094965504,5.445232384037709,-0.9263483939918333,-0.9874112133624636,1114
Z01,Wet,manual,Manual PlanetScope,28.547528438464308,16.550004968773404,8.94856909060696,-16.10749295044293,-8.841346491137692,1114
Z01,Trans. Wet-Dry,auto,Automated NDVI 0.30,17.452679778068184,11.528843167727342,7.884791885301745,9.910634003897158,7.0566863221778355,884
Z01,Trans. Wet-Dry,manual,Manual PlanetScope,11.255432788349074,6.936227764231972,4.689637887415069,0.3327144506807201,0.0491833172370022,884
Z01,Dry,auto,Automated NDVI 0.30,16.102462388462783,9.823305284436595,5.981312642630712,-9.479231778822736,-5.961730073931491,1072
Z01,Dry,manual,Manual PlanetScope,19.00814211869298,13.184573679963746,9.155803968463033,-13.138586583193948,-9.144093684199245,1072
Z01,Trans. Dry-Wet,auto,Automated NDVI 0.30,24.23491533430487,16.405365354853675,10.755216790404532,16.295674060556774,10.755216790404532,1065
Z01,Trans. Dry-Wet,manual,Manual PlanetScope,12.203535975086377,7.39144774382764,4.5670447296210455,5.989093049933143,4.042253860963939,1065
Z02,Wet,auto,Automated NDVI 0.30,26.312835532962,14.466540410787069,5.942454327728271,10.644196409942262,3.874720097401059,815
Z02,Wet,manual,Manual PlanetScope,16.398544160140705,10.545335429649187,7.155059368111054,-1.8556900851272764,-0.2611143858795941,815
Z02,Trans. Wet-Dry,auto,Automated NDVI 0.30,33.0886533706725,21.74420225865667,10.44128054678274,21.367631196634793,10.416920383795349,830
Z02,Trans. Wet-Dry,manual,Manual PlanetScope,10.473739124742442,6.171591146531591,3.6320849440896836,-1.0314672458872607,0.350954679542717,830
Z02,Dry,auto,Automated NDVI 0.30,26.079374676608012,16.296899225078292,7.065051808141078,-1.0321681540587175,0.9309205451588484,851
Z02,Dry,manual,Manual PlanetScope,26.053754597819733,15.449399064722604,4.692503089399352,-1.3034831526436388,-1.147377260845616,851
Z02,Trans. Dry-Wet,auto,Automated NDVI 0.30,12.736676769585307,8.080208415389533,5.12474924184459,3.4651983107709023,2.0615396727036384,668
Z02,Trans. Dry-Wet,manual,Manual PlanetScope,19.019439606341116,11.08795298453213,3.3883027356366604,3.6011220425528476,0.42687518584512674,668
Z03,Wet,auto,Automated NDVI 0.30,21.79972373547603,9.839744964438035,4.333634937813002,8.682979239004913,4.050552777485677,447
Z03,Wet,manual,Manual PlanetScope,19.966080604919238,8.899992820454138,3.283399206462313,1.9609803843555302,-2.575397389877871,447
Z03,Trans. Wet-Dry,auto,Automated NDVI 0.30,6.736936134162061,5.366952289054261,4.7078863742858275,2.6227641152310954,2.7230289832870582,453
Z03,Trans. Wet-Dry,manual,Manual PlanetScope,6.60321667110653,4.2523722759272555,2.5584707434447793,-1.6060233730283473,-0.7280666850718518,453
Z03,Dry,auto,Automated NDVI 0.30,26.98898896231746,24.835533988571758,21.440556919534508,23.772983148223776,21.390084296085703,464
Z03,Dry,manual,Manual PlanetScope,16.54846379836827,14.625681998943977,12.349290050695123,14.218491451488218,12.316718051942882,464
Z03,Trans. Dry-Wet,auto,Automated NDVI 0.30,11.787151798905994,11.31787477429695,10.528774542075915,9.41751992263162,10.265337832075325,177
Z03,Trans. Dry-Wet,manual,Manual PlanetScope,7.65122991948597,6.892152241690671,6.8207488178243665,5.6448901383206085,6.731935469120501,177
Z04,Wet,auto,Automated NDVI 0.30,36.476295977202085,25.764152107949187,17.961715780190733,24.89107241897211,17.961715780190733,1309
Z04,Wet,manual,Manual PlanetScope,22.58687946572626,14.0119865786883,8.732033719571461,8.0164402536951,3.735475090025986,1309
Z04,Trans. Wet-Dry,auto,Automated NDVI 0.30,15.526565100654206,10.442520197641482,8.08474448782928,7.597076452729475,7.56802126246852,1431
